تاريخ إصدار الشهادة ميلادي,تاريخ إنتهاء الشهادة ميلادي,البلدية,X,Y
2/5/2026 0:00,1/2/2029 0:00,نطاق خدمة مدينة أبها,42.53803832166028,18.213703539206673
1/14/2026 0:00,12/12/2028 0:00,بلدية بني عمرو,42.0406655,19.3846406
1/13/2026 0:00,12/11/2028 0:00,بلدية خميس مشيط,42.70829116087455,18.292395997360458
1/27/2026 0:00,12/24/2028 0:00,نطاق خدمة مدينة أبها,42.50157855346792,18.2308615527714
2/18/2026 0:00,1/16/2029 0:00,نطاق خدمة مدينة أبها,42.55859040950003,18.223503532000024
4/20/2026 0:00,3/18/2029 0:00,بلدية خميس مشيط,42.76126983861844,18.283579015537846
3/20/2026 0:00,2/14/2029 0:00,بلدية خميس مشيط,42.719134421306165,18.305825687241377
4/9/2026 0:00,3/6/2029 0:00,بلدية تثليث,43.5951174532317,19.512263440774166
4/12/2026 0:00,3/9/2029 0:00,بلدية خميس مشيط,42.7082998270954,18.3608270063062
4/23/2026 0:00,3/21/2029 0:00,نطاق خدمة مدينة أبها,42.49093144646575,18.208312797264554
4/12/2026 0:00,3/9/2029 0:00,نطاق خدمة مدينة أبها,42.53828545725875,18.21271208615474
4/30/2026 0:00,3/28/2029 0:00,بلدية خميس مشيط,42.742078903972846,18.265478310364443
1/1/2026 0:00,11/29/2028 0:00,بلدية محايل عسير,42.020155580390195,18.534936204766865
1/14/2026 0:00,12/12/2028 0:00,بلدية الحازمي,42.49951098288813,19.884766101266898
1/21/2026 0:00,12/18/2028 0:00,نطاق خدمة مدينة أبها,42.50162454123225,18.230848092924063
4/15/2026 0:00,3/12/2029 0:00,بلدية خميس مشيط,42.75153226223099,18.30102232286548
4/21/2026 0:00,3/19/2029 0:00,بلدية خميس مشيط,42.72328458059499,18.302789842887236
4/12/2026 0:00,3/9/2029 0:00,بلدية احد رفيدة,42.842687228236976,18.160419574537716
2/5/2026 0:00,1/2/2029 0:00,بلدية خميس مشيط,42.6981105,18.3157318
2/1/2026 0:00,12/29/2028 0:00,بلدية المجاردة,41.940043424165474,19.094783139273474
4/23/2026 0:00,3/21/2029 0:00,بلدية المجاردة,41.92179366928908,19.128232696628373
4/21/2026 0:00,3/19/2029 0:00,نطاق خدمة مدينة أبها,42.536544469771094,18.202813602319356
4/15/2026 0:00,3/12/2029 0:00,بلدية خميس مشيط,42.75839159269143,18.297800319284097
1/29/2026 0:00,12/26/2028 0:00,بلدية خميس مشيط,42.73065256769416,18.29158316877418
4/7/2026 0:00,3/4/2029 0:00,بلدية النقيع,42.809438844260285,20.280736667816175
4/21/2026 0:00,3/19/2029 0:00,نطاق خدمة مدينة أبها,42.543039945274344,18.20853512053877
4/23/2026 0:00,3/21/2029 0:00,بلدية خميس مشيط,42.78108583870673,18.318259724419995
4/19/2026 0:00,3/17/2029 0:00,بلدية خميس مشيط,42.75515360402181,18.322937955645127
4/13/2026 0:00,3/10/2029 0:00,بلدية خميس مشيط,42.7303869698561,18.332895202875
4/19/2026 0:00,3/17/2029 0:00,نطاق خدمة مدينة أبها,42.555402368836674,18.232507194197694
4/19/2026 0:00,3/17/2029 0:00,نطاق خدمة مدينة أبها,42.509960540257495,18.201065060049622
4/28/2026 0:00,3/26/2029 0:00,نطاق خدمة مدينة أبها,42.52651720365478,18.21594022613931
2/12/2026 0:00,1/9/2029 0:00,بلدية الصبيخة,43.306167439000035,19.103770779000058
4/22/2026 0:00,3/20/2029 0:00,نطاق خدمة مدينة أبها,42.49099651391152,18.208096183549415
4/21/2026 0:00,3/19/2029 0:00,بلدية محايل عسير,42.037668,18.570227000000003
4/23/2026 0:00,3/21/2029 0:00,بلدية خميس مشيط,42.78091929077774,18.31804181487425
4/20/2026 0:00,3/18/2029 0:00,بلدية خميس مشيط,42.77954217111057,18.26039708624889
3/2/2026 0:00,1/28/2029 0:00,بللقرن,41.9579892461001,19.559665705196267
4/16/2026 0:00,3/13/2029 0:00,نطاق خدمة مدينة أبها,42.51734901303342,18.219421620828655
4/28/2026 0:00,3/26/2029 0:00,نطاق خدمة مدينة أبها,42.5428319246017,18.20770925320197
1/28/2026 0:00,12/25/2028 0:00,بلدية بارق,41.88010807311975,19.00364320802794
1/22/2026 0:00,12/19/2028 0:00,بلدية تنومه,42.17962058550193,18.95146785651157
1/27/2026 0:00,12/24/2028 0:00,بلدية خميس مشيط,42.71962349129466,18.30637446809739
2/4/2026 0:00,1/1/2029 0:00,بلدية خميس مشيط,42.76153535496466,18.307207104485784
1/31/2026 0:00,12/28/2028 0:00,بلدية خميس مشيط,42.7297238,18.3136931
2/11/2026 0:00,1/8/2029 0:00,بلدية خميس مشيط,42.718947823986376,18.30603172767951
4/15/2026 0:00,3/12/2029 0:00,بلدية خميس مشيط,42.76268619328998,18.264082704052807
3/3/2026 0:00,1/29/2029 0:00,بلدية سراة عبيده,43.136326770720274,18.087427332802605
4/27/2026 0:00,3/25/2029 0:00,بلدية خميس مشيط,42.703981514785724,18.300094497553047
3/20/2026 0:00,2/14/2029 0:00,بلدية خميس مشيط,42.6935971770001,18.3650143680001
4/22/2026 0:00,3/20/2029 0:00,بلدية المجاردة,41.93664069300007,19.09735014300003
4/26/2026 0:00,3/24/2029 0:00,بلدية احد رفيدة,42.81983401113164,18.1798258187793
5/7/2026 0:00,4/4/2029 0:00,بلدية رجال المع,42.219747052911096,18.07105552774189
5/4/2026 0:00,4/1/2029 0:00,بلدية احد رفيدة,42.83234838768504,18.17257961396551
5/3/2026 0:00,3/31/2029 0:00,بلدية بارق,41.937502087262345,18.934219888352686
1/5/2026 0:00,12/3/2028 0:00,بلدية خميس مشيط,42.76413660334265,18.306862279182468
1/4/2026 0:00,12/2/2028 0:00,بلدية خميس مشيط,42.745205,18.262861
2/4/2026 0:00,1/1/2029 0:00,بلدية خميس مشيط,42.764689653825606,18.333945190191823
1/22/2026 0:00,12/19/2028 0:00,بلدية خميس مشيط,42.68823128178387,18.333295602096914
4/19/2026 0:00,3/17/2029 0:00,بلدية خميس مشيط,42.754038367460254,18.29094924500053
4/22/2026 0:00,3/20/2029 0:00,بلدية المجاردة,41.92174969403276,19.128103742348372
4/19/2026 0:00,3/17/2029 0:00,نطاق خدمة مدينة أبها,42.56270739391992,18.213517758834012
1/5/2026 0:00,12/3/2028 0:00,بلدية الصبيخة,43.310127241602146,19.104478758896263
1/20/2026 0:00,12/17/2028 0:00,بلدية المجاردة,41.928141365152925,19.10693641039927
2/10/2026 0:00,1/7/2029 0:00,بلدية خميس مشيط,42.72958887717705,18.293848793112577
1/18/2026 0:00,12/16/2028 0:00,بلدية الصبيخة,43.306285271000036,19.103785101000028
2/15/2026 0:00,1/12/2029 0:00,بلدية احد رفيدة,42.78178785101525,18.17389399838014
3/9/2026 0:00,2/4/2029 0:00,بلدية خميس مشيط,42.684821403269176,18.31714001169908
4/23/2026 0:00,3/21/2029 0:00,بلدية النقيع,42.80013787375603,20.271633703114624
4/20/2026 0:00,3/18/2029 0:00,بلدية خميس مشيط,42.75497043443498,18.289289842566664
4/19/2026 0:00,3/17/2029 0:00,نطاق خدمة مدينة أبها,42.54350832720803,18.205284395887176
5/5/2026 0:00,4/2/2029 0:00,بلدية الصبيخة,43.30781289500004,19.10022654100004
1/22/2026 0:00,12/19/2028 0:00,بلدية خميس مشيط,42.71878288489182,18.30604745527873
2/20/2026 0:00,1/18/2029 0:00,بلدية خميس مشيط,42.72701563304351,18.29672558640948
4/22/2026 0:00,3/20/2029 0:00,نطاق خدمة مدينة أبها,42.5171095900965,18.2068622762015
4/20/2026 0:00,3/18/2029 0:00,بللقرن,41.959543564801635,19.575812100877044
3/13/2026 0:00,2/8/2029 0:00,بلدية خميس مشيط,42.7585,18.327779
2/26/2026 0:00,1/24/2029 0:00,نطاق خدمة مدينة أبها,42.54292749760287,18.23014857273188
4/22/2026 0:00,3/20/2029 0:00,بلدية خميس مشيط,42.78786970879073,18.25334601345307
